date,category,forecast_qty,lower_bound,upper_bound,is_forecast
2015-01-01,Accessories,168.69950153566225,152.4604924289233,185.35186887322632,False
2015-02-01,Accessories,165.44194697321106,148.08915669444215,182.05919691242846,False
2015-03-01,Accessories,191.10851026205654,174.85847976134917,207.45102467942735,False
2015-04-01,Accessories,139.29873344132096,121.96438538405467,155.96031166324738,False
2015-05-01,Accessories,227.3591818736147,211.4414560529387,243.56781747365514,False
2015-06-01,Accessories,186.72250608450926,169.38684237378402,203.5078341413174,False
2015-07-01,Accessories,176.65779871692638,161.5426614113996,194.6032020914726,False
2015-08-01,Accessories,196.35387217123252,179.84679116786617,212.9874829465419,False
2015-09-01,Accessories,175.5088141661844,158.87200683931994,192.5509138348674,False
2015-10-01,Accessories,215.11751378612232,199.05040935224343,233.20578059513343,False
2015-11-01,Accessories,214.0475232060602,197.8993466513435,229.36883060005917,False
2015-12-01,Accessories,193.68306951706995,178.3315238343209,210.68206765088294,False
2016-01-01,Accessories,186.32540457513906,170.51385544166067,202.28051752670368,False
2016-02-01,Accessories,176.28500519221964,160.1441005370566,192.36592987463374,False
2016-03-01,Accessories,181.83316536267213,165.17653978158435,198.61595901951287,False
2016-04-01,Accessories,209.05738396924676,191.4715843035866,225.98638341198387,False
2016-05-01,Accessories,216.74292583963032,199.0168277560148,233.3364971710967,False
2016-06-01,Accessories,184.35215447244792,167.0935957420289,201.0735967274135,False
2016-07-01,Accessories,191.31203363943249,174.447870492117,208.23316674254286,False
2016-08-01,Accessories,154.58555840429491,138.58196057208508,171.33163963916581,False
2016-09-01,Accessories,200.39875964747702,183.32252344827916,217.33748716065455,False
2016-10-01,Accessories,242.75571802401896,224.97766394860847,260.3879356425292,False
2016-11-01,Accessories,213.83280126206387,197.60529817745183,230.96996617278006,False
2016-12-01,Accessories,229.2655258473906,212.69689486690876,246.6809727987086,False
2017-01-01,Accessories,157.95411848730282,142.2382151203005,174.1736577534964,False
2017-02-01,Accessories,167.27609386616444,149.73719798770196,183.70698873969633,False
2017-03-01,Accessories,193.24191205665963,177.01594104550614,209.50325849177307,False
2017-04-01,Accessories,193.7634104508646,177.47710812138692,212.21156160161976,False
2017-05-01,Accessories,227.89568637073586,211.32194525123242,244.50506269014014,True
2017-06-01,Accessories,193.00934666486896,176.1876136326863,210.2895976309297,True
2017-07-01,Accessories,194.19880121632053,178.17277005046967,211.27801288349085,True
2017-08-01,Accessories,176.53250623825951,160.49640128968358,192.06866373896383,True
2017-09-01,Accessories,200.3609447246918,183.27781830710703,216.56665541001811,True
2017-10-01,Accessories,241.45574361464102,223.58467806771034,257.82445086556385,True
2017-04-01,As Seen on  TV!,9.000003228407277,9.0000032171716,9.000003240341952,False
2017-05-01,As Seen on  TV!,48.999998797597854,48.999998787180736,48.99999880840607,False
2017-06-01,As Seen on  TV!,28.000005593206446,28.000005582419,28.000005604639906,False
2017-07-01,As Seen on  TV!,62.00000456488833,62.000004554366406,62.00000457592999,False
2017-08-01,As Seen on  TV!,45.000007686317204,45.000007675638805,45.00000769707398,False
2017-09-01,As Seen on  TV!,12.999993826230643,12.999993814638875,12.999993837676504,False
2017-10-01,As Seen on  TV!,-188.1265763196688,-188.1265764396481,-188.12657617492633,True
2017-11-01,As Seen on  TV!,-381.9323433205253,-381.9323437324384,-381.9323428738471,True
2017-12-01,As Seen on  TV!,441.48809683941636,441.48809603452224,441.48809770018124,True
2018-01-01,As Seen on  TV!,590.6994737882908,590.6994724669978,590.6994752720449,True
2018-02-01,As Seen on  TV!,87.34034960163535,87.34034768393619,87.34035167131191,True
2018-03-01,As Seen on  TV!,293.8904071271454,293.890404486318,293.8904099130111,True
2015-01-01,Baseball & Softball,68.17181385283463,47.84805655133028,87.82370114046277,False
2015-02-01,Baseball & Softball,66.67529289433632,46.66290349461465,86.15195519386425,False
2015-03-01,Baseball & Softball,81.7258516527197,62.52418360434601,101.70720311322764,False
2015-04-01,Baseball & Softball,72.67516758854855,53.28635186345296,91.7273295730108,False
2015-05-01,Baseball & Softball,57.09125157310066,36.70620650408048,76.71063525876548,False
2015-06-01,Baseball & Softball,53.251565218971606,35.07390111261721,73.89016647814071,False
2015-07-01,Baseball & Softball,62.93574849245963,42.725528060677746,82.48155256569923,False
2015-08-01,Baseball & Softball,45.966845527484274,25.12107960445314,64.80428857075624,False
2015-09-01,Baseball & Softball,72.7868409483241,53.03971740384558,92.14433746817377,False
2015-10-01,Baseball & Softball,46.01951965859567,28.370553008464146,67.25902640458264,False
2015-11-01,Baseball & Softball,62.62973900764149,43.352646150004645,82.16217115015591,False
2015-12-01,Baseball & Softball,82.36721082261518,62.15922124958839,101.79005762898885,False
2016-01-01,Baseball & Softball,50.18285735736427,31.396017027566124,70.79659064412154,False
2016-02-01,Baseball & Softball,62.3482267551324,44.394944188712884,82.54850503659557,False
2016-03-01,Baseball & Softball,71.92983807668325,52.654578131076086,92.09197392483941,False
2016-04-01,Baseball & Softball,70.18537814175603,51.3284621696505,90.01591544167994,False
2016-05-01,Baseball & Softball,47.92357945541487,27.789864157988244,65.98620793387722,False
2016-06-01,Baseball & Softball,26.30349265782627,7.953081137446233,47.8677362866731,False
2016-07-01,Baseball & Softball,76.19996862465445,56.08288142599343,95.51990108544724,False
2016-08-01,Baseball & Softball,29.30039166257434,10.625226628557844,49.355129419007376,False
2016-09-01,Baseball & Softball,34.66035793830922,14.231032062022834,55.434014571722145,False
2016-10-01,Baseball & Softball,53.006701080439676,33.72989275951548,73.27217891485104,False
2016-11-01,Baseball & Softball,59.36634212276336,40.198780486473765,78.9106230147968,False
2016-12-01,Baseball & Softball,58.65622631573171,39.4904488776358,77.47984353127691,False
2017-01-01,Baseball & Softball,59.641136345538065,41.29371355959475,80.35290744869117,False
2017-02-01,Baseball & Softball,30.907986806797286,9.775192719022046,50.523577828241024,False
2017-03-01,Baseball & Softball,60.418409769723056,40.098874376743396,79.12501005368581,False
2017-04-01,Baseball & Softball,56.14404576418172,37.04454044556412,76.39737580297279,False
2017-05-01,Baseball & Softball,36.00151194551211,15.931494862871274,57.39202836798532,False
2017-06-01,Baseball & Softball,20.446496776800174,-0.9399086250342406,41.004707201804706,False
2017-07-01,Baseball & Softball,56.88921919081198,36.717697743433554,76.42162074903952,False
2017-08-01,Baseball & Softball,19.75309388289181,-0.18742664950873855,38.568692382532596,False
2017-09-01,Baseball & Softball,32.55124256273893,14.24719037689005,52.106493557888776,False
2017-10-01,Baseball & Softball,35.92641371615565,17.016134007831155,56.45841365720498,True
2017-11-01,Baseball & Softball,45.47992179137501,26.198612661871937,65.77686409788235,True
2017-12-01,Baseball & Softball,51.68001764695674,31.488530172181918,71.39469712765795,True
2018-01-01,Baseball & Softball,41.52996034302865,21.84613033534996,61.19012979854097,True
2018-02-01,Baseball & Softball,26.396746696699545,7.463861698759576,45.8444692628371,True
2018-03-01,Baseball & Softball,48.78545935197054,28.17185902573679,69.1667025734053,True
2015-01-01,Boxing & MMA,12.347324370555139,-3.9848473509102837,27.95894814683421,False
2015-02-01,Boxing & MMA,5.743034513722382,-10.91519008864173,22.245955725936152,False
2015-03-01,Boxing & MMA,16.602828582053547,0.9491814711468214,33.722010155260655,False
2015-04-01,Boxing & MMA,27.79461701956862,13.0796283607661,43.82443545517933,False
2015-05-01,Boxing & MMA,28.5533618596287,12.291940751198439,44.36536824998313,False
2015-06-01,Boxing & MMA,29.10810268215039,12.055279295309813,45.96709200026636,False
2015-07-01,Boxing & MMA,18.504850722094613,1.339545612710768,34.6549208957267,False
2015-08-01,Boxing & MMA,33.527905674228684,16.96633580339699,49.245285830816435,False
2015-09-01,Boxing & MMA,32.70226362155145,16.751872289374834,49.04237956230336,False
2015-10-01,Boxing & MMA,34.70395508279446,18.009266551021284,50.76395655760861,False
2015-11-01,Boxing & MMA,23.39437775890782,7.933762289577745,39.53264900954484,False
2015-12-01,Boxing & MMA,30.56348349773165,13.842389817290597,46.35107171146246,False
2016-01-01,Boxing & MMA,26.57080533775304,8.743648862553057,41.96812938012816,False
2016-02-01,Boxing & MMA,17.52683023476818,1.5049985620654702,33.2182783634307,False
2016-03-01,Boxing & MMA,24.469218611058757,7.8241009873735345,40.38066152233228,False
2016-04-01,Boxing & MMA,25.609961710126843,8.379567015640275,42.72275330363307,False
2016-05-01,Boxing & MMA,48.23018143706706,32.276764730966946,63.53793444309879,False
2016-06-01,Boxing & MMA,50.83866522684782,34.622337849914736,66.73791449524172,False
2016-07-01,Boxing & MMA,51.64630327598482,34.76036761556271,67.9979178037742,False
2016-08-01,Boxing & MMA,60.11718082232582,43.52390896588102,75.46092222486473,False
2016-09-01,Boxing & MMA,23.666410500409064,8.473091516862029,40.95669645078077,False
2016-10-01,Boxing & MMA,38.3893940718595,21.146078342404167,54.11124444802179,False
2016-11-01,Boxing & MMA,63.693315001175954,48.18395228956585,78.9513426776107,False
2016-12-01,Boxing & MMA,34.58961779489164,18.293576519260323,50.82586405660669,False
2017-01-01,Boxing & MMA,50.24394802301941,33.65468325016946,65.7642798633522,False
2017-02-01,Boxing & MMA,49.012456771591175,33.77665742746649,64.35677310948476,False
2017-03-01,Boxing & MMA,43.8993428740034,27.896089689455334,59.44674180293281,False
2017-04-01,Boxing & MMA,48.58271347549472,33.19348059781069,65.19627311036959,False
2017-05-01,Boxing & MMA,64.03191929248567,46.902090295735874,80.71894791348758,False
2017-06-01,Boxing & MMA,65.9045091318542,49.77025212570535,81.95069893339696,False
2017-07-01,Boxing & MMA,62.76805949879211,47.34489853890908,79.2858067933228,False
2017-08-01,Boxing & MMA,73.22589154260432,58.46815027151099,90.43925564650127,False
2017-09-01,Boxing & MMA,48.74709052969584,31.015911602383078,62.79327730991936,False
2017-10-01,Boxing & MMA,59.564735399550656,43.25039931218806,75.02230871324979,True
2017-11-01,Boxing & MMA,72.5345939107466,56.567654665590766,87.74122841443344,True
2017-12-01,Boxing & MMA,55.42401489784697,39.28367539377636,72.25074989934186,True
2018-01-01,Boxing & MMA,64.64016490314424,48.77951473470675,80.4007856486159,True
2018-02-01,Boxing & MMA,60.64096412452453,45.219822328688345,76.56175133799802,True
2018-03-01,Boxing & MMA,63.47915806999821,48.28092904049985,80.17946481389289,True
2015-01-01,Camping & Hiking,429.4409509043953,350.5151135821098,497.803797347986,False
2015-02-01,Camping & Hiking,408.6409018523751,337.78455501638837,480.35404453096413,False
2015-03-01,Camping & Hiking,441.2485964276461,367.95915953252273,514.5074884610547,False
2015-04-01,Camping & Hiking,454.0672949056226,386.7561200621763,519.628939451299,False
2015-05-01,Camping & Hiking,423.4360745030217,350.15428537144754,498.1344167520609,False
2015-06-01,Camping & Hiking,425.095135014282,354.85375836346844,498.43211128028673,False
2015-07-01,Camping & Hiking,422.3766125576934,346.45807124849495,501.7017312867012,False
2015-08-01,Camping & Hiking,401.28275161967264,327.63402758120964,475.1521610958656,False
2015-09-01,Camping & Hiking,436.4636681145078,363.9018066888872,512.1424082014812,False
2015-10-01,Camping & Hiking,333.16693615867734,257.40753455874807,405.1543702178293,False
